date,home,away,status,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
09-08-2013,Bayern Munich,M'gladbach,1,3,1,H,26,11,9,4,12,11,6,4,1,3,0,0
10-08-2013,Augsburg,Dortmund,1,0,4,A,11,13,4,9,18,12,5,6,2,0,0,0
10-08-2013,Braunschweig,Werder Bremen,1,0,1,A,13,12,3,4,10,18,2,7,1,0,0,0
10-08-2013,Hannover,Wolfsburg,1,2,0,H,20,15,8,4,28,11,7,2,4,0,0,2
10-08-2013,Hertha,Ein Frankfurt,1,6,1,H,16,10,9,4,19,18,5,4,0,2,0,0
10-08-2013,Hoffenheim,Nurnberg,1,2,2,D,23,12,8,5,17,17,6,9,1,4,0,0
10-08-2013,Leverkusen,Freiburg,1,3,1,H,18,8,6,3,11,16,5,2,2,2,0,0
11-08-2013,Mainz,Stuttgart,1,3,2,H,9,15,7,10,15,13,2,8,2,4,0,0
11-08-2013,Schalke 04,Hamburg,1,3,3,D,19,16,8,6,15,11,3,7,1,2,0,0
17-08-2013,Ein Frankfurt,Bayern Munich,1,0,1,A,9,15,3,7,9,17,6,5,1,1,0,0
17-08-2013,Freiburg,Mainz,1,1,2,A,9,12,3,8,17,7,2,4,0,3,0,0
17-08-2013,Hamburg,Hoffenheim,1,1,5,A,8,18,4,7,15,22,2,4,2,2,0,0
17-08-2013,M'gladbach,Hannover,1,3,0,H,17,16,8,4,9,19,1,3,1,4,0,0
17-08-2013,Stuttgart,Leverkusen,1,0,1,A,17,13,3,3,13,15,10,3,3,2,0,0
17-08-2013,Werder Bremen,Augsburg,1,1,0,H,5,20,2,4,16,14,3,7,3,4,0,0
17-08-2013,Wolfsburg,Schalke 04,1,4,0,H,20,6,8,2,18,16,11,3,0,2,0,0
18-08-2013,Dortmund,Braunschweig,1,2,1,H,24,8,6,3,8,12,4,3,0,1,0,0
18-08-2013,Nurnberg,Hertha,1,2,2,D,11,12,5,5,16,17,4,5,5,2,0,0
23-08-2013,Dortmund,Werder Bremen,1,1,0,H,32,7,8,1,14,13,7,2,0,0,0,0
24-08-2013,Bayern Munich,Nurnberg,1,2,0,H,26,5,9,1,13,8,10,1,3,1,0,0
24-08-2013,Hannover,Schalke 04,1,2,1,H,14,8,6,2,19,23,7,1,2,0,1,2
24-08-2013,Hertha,Hamburg,1,1,0,H,16,15,5,7,16,18,6,9,1,4,0,0
24-08-2013,Hoffenheim,Freiburg,1,3,3,D,13,11,5,6,15,22,2,4,1,3,1,3
24-08-2013,Leverkusen,M'gladbach,1,4,2,H,19,10,11,3,10,14,7,3,0,1,0,0
24-08-2013,Mainz,Wolfsburg,1,2,0,H,12,16,4,6,16,15,2,5,3,1,0,1
25-08-2013,Augsburg,Stuttgart,1,2,1,H,17,9,5,2,19,18,9,7,2,3,0,1
25-08-2013,Braunschweig,Ein Frankfurt,1,0,2,A,9,20,4,4,12,18,2,8,2,1,0,0
27-08-2013,Freiburg,Bayern Munich,1,1,1,D,8,17,3,8,17,10,3,6,2,1,0,0
31-08-2013,Hamburg,Braunschweig,1,4,0,H,26,17,13,5,19,21,7,2,1,4,0,0
31-08-2013,Hannover,Mainz,1,4,1,H,16,13,5,2,19,10,5,3,3,1,0,0
31-08-2013,M'gladbach,Werder Bremen,1,4,1,H,20,10,8,2,13,13,1,5,3,0,0,0
31-08-2013,Nurnberg,Augsburg,1,0,1,A,7,24,1,7,10,18,2,12,4,2,1,0
31-08-2013,Schalke 04,Leverkusen,1,2,0,H,12,11,3,1,14,18,2,6,0,3,0,0
31-08-2013,Wolfsburg,Hertha,1,2,0,H,18,8,6,4,16,15,2,2,1,2,0,0
01-09-2013,Ein Frankfurt,Dortmund,1,1,2,A,17,16,4,8,6,19,8,6,1,2,0,0
01-09-2013,Stuttgart,Hoffenheim,1,6,2,H,13,12,7,3,20,20,3,5,2,2,0,0
13-09-2013,Hertha,Stuttgart,1,0,1,A,19,8,8,5,13,12,7,4,1,1,0,0
14-09-2013,Augsburg,Freiburg,1,2,1,H,14,5,6,1,16,21,10,3,1,2,0,0
14-09-2013,Bayern Munich,Hannover,1,2,0,H,18,13,8,2,14,12,13,4,3,3,0,0
14-09-2013,Dortmund,Hamburg,1,6,2,H,32,4,14,2,11,19,7,2,0,4,0,0
14-09-2013,Leverkusen,Wolfsburg,1,3,1,H,14,14,7,5,17,12,4,3,2,2,0,1
14-09-2013,Mainz,Schalke 04,1,0,1,A,14,10,0,5,15,19,1,5,1,3,0,0
14-09-2013,Werder Bremen,Ein Frankfurt,1,0,3,A,12,14,4,6,14,13,5,10,2,0,1,0
15-09-2013,Braunschweig,Nurnberg,1,1,1,D,23,9,7,2,17,18,6,3,3,2,0,0
15-09-2013,Hoffenheim,M'gladbach,1,2,1,H,10,16,4,3,16,7,2,3,3,2,0,0
20-09-2013,M'gladbach,Braunschweig,1,4,1,H,13,12,7,3,11,12,0,1,1,2,0,1
21-09-2013,Hamburg,Werder Bremen,1,0,2,A,19,16,7,6,15,18,4,6,2,4,0,0
21-09-2013,Hannover,Augsburg,1,2,1,H,15,12,8,2,21,18,8,1,3,4,0,0
21-09-2013,Mainz,Leverkusen,1,1,4,A,14,13,2,5,14,11,4,4,1,1,0,0
21-09-2013,Nurnberg,Dortmund,1,1,1,D,10,18,3,6,7,12,3,9,1,2,0,0
21-09-2013,Schalke 04,Bayern Munich,1,0,4,A,10,14,1,5,7,6,5,5,1,0,0,0
21-09-2013,Wolfsburg,Hoffenheim,1,2,1,H,15,7,6,2,15,20,6,6,1,4,0,0
