Date,Home,Away,Status,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
24-08-2013,Sampdoria,Juventus,1,0,1,A,4,11,1,4,21,21,4,10,2,3,1,0
24-08-2013,Verona,Milan,1,2,1,H,14,15,8,5,11,14,6,5,2,3,0,0
25-08-2013,Cagliari,Atalanta,1,2,1,H,23,11,7,2,19,17,10,3,2,4,0,0
25-08-2013,Inter,Genoa,1,2,0,H,20,4,5,0,15,9,12,2,2,3,0,0
25-08-2013,Lazio,Udinese,1,2,1,H,20,7,6,3,15,13,4,4,4,3,0,0
25-08-2013,Livorno,Roma,1,0,2,A,5,17,3,6,12,18,2,8,1,2,0,0
25-08-2013,Napoli,Bologna,1,3,0,H,16,8,6,2,10,14,0,5,1,3,0,0
25-08-2013,Parma,Chievo,1,0,0,D,14,16,4,3,17,17,7,3,2,3,0,0
25-08-2013,Torino,Sassuolo,1,2,0,H,14,14,5,4,15,13,4,5,3,2,0,0
26-08-2013,Fiorentina,Catania,1,2,1,H,16,13,6,4,16,20,3,3,2,4,0,0
31-08-2013,Chievo,Napoli,1,2,4,A,13,18,6,8,10,10,3,4,1,1,0,0
31-08-2013,Juventus,Lazio,1,4,1,H,12,17,5,11,12,15,4,5,1,0,0,1
01-09-2013,Atalanta,Torino,1,2,0,H,10,14,3,2,15,16,6,4,3,2,0,0
01-09-2013,Bologna,Sampdoria,1,2,2,D,10,13,6,5,20,13,4,4,3,3,0,0
01-09-2013,Catania,Inter,1,0,3,A,13,17,3,7,16,10,4,3,3,1,0,0
01-09-2013,Genoa,Fiorentina,1,2,5,A,14,16,7,8,13,7,11,2,1,2,1,0
01-09-2013,Milan,Cagliari,1,3,1,H,17,10,8,2,25,13,3,5,1,1,0,0
01-09-2013,Roma,Verona,1,3,0,H,25,13,11,1,9,12,9,3,2,2,0,0
01-09-2013,Sassuolo,Livorno,1,1,4,A,11,10,4,5,17,18,10,3,1,1,0,0
01-09-2013,Udinese,Parma,1,3,1,H,15,12,6,1,12,14,5,6,0,4,0,0
14-09-2013,Inter,Juventus,1,1,1,D,8,12,4,5,16,14,6,1,2,2,0,0
14-09-2013,Napoli,Atalanta,1,2,0,H,29,11,11,5,7,11,8,2,1,0,0,1
14-09-2013,Torino,Milan,1,2,2,D,10,14,3,5,13,16,4,4,2,2,0,0
15-09-2013,Fiorentina,Cagliari,1,1,1,D,16,6,2,1,12,17,4,9,1,3,1,0
15-09-2013,Lazio,Chievo,1,3,0,H,14,14,6,5,14,10,3,11,2,6,0,0
15-09-2013,Livorno,Catania,1,2,0,H,16,15,4,2,21,20,2,8,4,3,0,0
15-09-2013,Sampdoria,Genoa,1,0,3,A,20,4,2,3,21,21,6,3,5,3,0,0
15-09-2013,Udinese,Bologna,1,1,1,D,12,8,3,3,14,17,4,4,1,4,0,0
15-09-2013,Verona,Sassuolo,1,2,0,H,10,18,3,2,18,11,5,10,3,1,0,0
16-09-2013,Parma,Roma,1,1,3,A,11,14,2,8,18,10,5,2,4,0,0,0
21-09-2013,Cagliari,Sampdoria,1,2,2,D,13,15,4,4,15,17,3,3,3,3,0,0
21-09-2013,Chievo,Udinese,1,2,1,H,13,14,5,3,17,18,9,4,5,3,0,0
21-09-2013,Genoa,Livorno,1,0,0,D,10,9,4,4,16,16,6,5,4,1,0,0
22-09-2013,Atalanta,Fiorentina,1,0,2,A,16,12,2,5,19,15,9,3,3,1,0,0
22-09-2013,Bologna,Torino,1,1,2,A,13,10,3,6,18,20,1,5,5,6,1,0
22-09-2013,Catania,Parma,1,0,0,D,12,12,2,3,20,27,8,2,0,3,0,0
22-09-2013,Juventus,Verona,1,2,1,H,35,4,15,1,17,11,5,2,4,1,0,0
22-09-2013,Milan,Napoli,1,1,2,A,22,9,8,3,11,9,8,3,3,1,1,0
22-09-2013,Roma,Lazio,1,2,0,H,18,8,5,0,14,16,8,3,4,3,0,1
22-09-2013,Sassuolo,Inter,1,0,7,A,7,23,4,11,8,13,2,7,3,1,0,0
24-09-2013,Udinese,Genoa,1,1,0,H,14,7,3,1,10,16,10,2,1,3,0,0
25-09-2013,Bologna,Milan,1,3,3,D,15,16,6,8,22,13,5,9,4,2,0,0
25-09-2013,Chievo,Juventus,1,1,2,A,5,18,3,8,14,16,2,4,3,0,0,0
25-09-2013,Lazio,Catania,1,3,1,H,29,10,13,1,13,12,8,3,2,2,0,1
25-09-2013,Livorno,Cagliari,1,1,1,D,10,20,3,5,8,15,6,5,2,4,0,0
25-09-2013,Napoli,Sassuolo,1,1,1,D,19,17,8,6,11,18,8,6,2,2,0,0
25-09-2013,Parma,Atalanta,1,4,3,H,14,12,6,4,18,23,3,4,3,4,1,0
25-09-2013,Sampdoria,Roma,1,0,2,A,13,10,3,4,15,16,5,1,2,3,1,0
25-09-2013,Torino,Verona,1,2,2,D,11,7,7,6,11,17,9,3,1,0,0,0
26-09-2013,Inter,Fiorentina,1,2,1,H,15,18,5,6,15,7,6,6,4,1,0,0
28-09-2013,Genoa,Napoli,1,0,2,A,10,11,2,3,17,10,5,7,2,2,0,0
28-09-2013,Milan,Sampdoria,1,1,0,H,16,14,5,1,10,11,7,2,0,3,0,0
29-09-2013,Atalanta,Udinese,1,2,0,H,12,11,5,3,17,16,8,4,1,4,0,0
29-09-2013,Cagliari,Inter,1,1,1,D,9,15,3,5,14,14,2,6,4,2,0,0
29-09-2013,Catania,Chievo,1,2,0,H,8,14,5,3,14,17,1,9,2,3,0,0
29-09-2013,Roma,Bologna,1,5,0,H,11,11,7,3,12,13,2,7,1,3,0,0
29-09-2013,Sassuolo,Lazio,1,2,2,D,20,12,6,4,12,11,12,4,3,1,0,0
29-09-2013,Torino,Juventus,1,0,1,A,6,17,0,6,12,16,2,8,3,3,0,0
29-09-2013,Verona,Livorno,1,2,1,H,16,19,5,8,15,8,5,5,3,2,0,0
30-09-2013,Fiorentina,Parma,1,2,2,D,11,7,3,5,10,20,6,5,3,2,0,0
06-10-2013,Bologna,Verona,1,1,4,A,24,13,8,5,12,9,6,5,2,2,0,0
06-10-2013,Catania,Genoa,1,1,1,D,14,8,4,3,22,15,3,4,3,3,0,0
06-10-2013,Napoli,Livorno,1,4,0,H,10,10,6,2,19,17,4,4,0,2,0,0
06-10-2013,Parma,Sassuolo,1,3,1,H,10,16,3,7,18,16,3,6,2,2,1,1
06-10-2013,Sampdoria,Torino,1,2,2,D,14,10,6,3,21,22,4,11,3,6,0,0
06-10-2013,Udinese,Cagliari,1,2,0,H,12,15,4,2,14,17,5,4,1,1,0,0
06-10-2013,Juventus,Milan,1,3,2,H,20,8,6,5,12,13,9,5,1,3,0,1
06-10-2013,Lazio,Fiorentina,1,0,0,D,20,3,4,0,15,17,6,1,4,4,0,0
05-10-2013,Chievo,Atalanta,1,0,1,A,20,8,3,2,12,10,11,5,2,1,0,0
05-10-2013,Inter,Roma,1,0,3,A,18,9,3,5,15,22,10,2,2,5,0,1
18-10-2013,Roma,Napoli,1,2,0,H,13,15,4,3,13,11,2,5,2,3,0,1
19-10-2013,Cagliari,Catania,1,2,1,H,29,7,10,4,12,18,11,5,3,1,0,1
19-10-2013,Milan,Udinese,1,1,0,H,12,7,3,2,13,12,3,10,3,3,0,0
20-10-2013,Atalanta,Lazio,1,2,1,H,14,16,5,4,7,17,8,2,0,2,0,0
20-10-2013,Fiorentina,Juventus,1,4,2,H,12,18,7,8,11,25,4,5,3,6,0,0
20-10-2013,Genoa,Chievo,1,2,1,H,9,15,5,7,15,20,4,2,1,4,0,0
20-10-2013,Livorno,Sampdoria,1,1,2,A,17,11,5,2,14,18,5,2,5,2,0,0
20-10-2013,Sassuolo,Bologna,1,2,1,H,8,20,5,6,18,11,1,13,4,2,0,0
20-10-2013,Verona,Parma,1,3,2,H,14,14,7,6,16,21,6,3,0,7,0,0
20-10-2013,Torino,Inter,1,3,3,D,23,8,5,5,9,13,11,2,3,2,0,1
26-10-2013,Inter,Verona,1,4,2,H,21,9,8,4,11,10,9,1,3,3,1,1
26-10-2013,Sampdoria,Atalanta,1,1,0,H,14,8,6,0,22,18,3,5,4,2,0,1
27-10-2013,Bologna,Livorno,1,1,0,H,9,13,4,2,20,13,5,6,2,2,0,0
27-10-2013,Catania,Sassuolo,1,0,0,D,14,12,4,1,19,12,5,2,1,2,0,0
27-10-2013,Chievo,Fiorentina,1,1,2,A,9,15,2,4,15,8,3,6,4,3,0,0
27-10-2013,Juventus,Genoa,1,2,0,H,24,6,9,0,15,9,6,2,1,1,0,0
27-10-2013,Lazio,Cagliari,1,2,0,H,12,12,3,4,17,14,4,5,1,1,0,0
27-10-2013,Napoli,Torino,1,2,0,H,21,9,7,3,13,9,7,4,1,0,0,1
