Date,HomeTeam,AwayTeam,Status,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
17-08-2013,Sociedad,Getafe,1,2,0,H,16,15,6,2,13,6,6,5,1,1,0,0
17-08-2013,Valencia,Malaga,1,1,0,H,9,11,1,2,15,23,9,6,3,5,0,0
17-08-2013,Valladolid,Ath Bilbao,1,1,2,A,8,13,2,3,10,8,5,5,1,0,0,0
18-08-2013,Barcelona,Levante,1,7,0,H,22,4,13,1,15,16,9,3,1,3,0,0
18-08-2013,Osasuna,Granada,1,1,2,A,14,13,5,4,15,17,7,6,1,4,0,0
18-08-2013,Real Madrid,Betis,1,2,1,H,20,11,9,4,11,20,5,7,1,2,0,0
18-08-2013,Sevilla,Ath Madrid,1,1,3,A,14,16,5,6,12,13,1,9,4,4,0,0
19-08-2013,Almeria,Villarreal,1,2,3,A,15,14,2,4,17,14,6,10,2,0,0,0
19-08-2013,Celta,Espanol,1,2,2,D,15,6,10,5,23,12,7,2,4,4,0,0
19-08-2013,Vallecano,Elche,1,3,0,H,11,8,5,1,16,11,3,4,2,2,0,0
23-08-2013,Ath Bilbao,Osasuna,1,2,0,H,8,18,2,5,15,20,5,10,2,2,0,0
23-08-2013,Getafe,Almeria,1,2,2,D,14,16,5,7,15,17,2,7,2,1,0,0
24-08-2013,Elche,Sociedad,1,1,1,D,12,11,2,4,9,12,4,2,4,3,0,0
24-08-2013,Espanol,Valencia,1,3,1,H,13,8,3,2,17,12,6,3,3,3,0,0
24-08-2013,Villarreal,Valladolid,1,2,1,H,17,6,6,2,11,25,8,3,4,2,0,0
25-08-2013,Ath Madrid,Vallecano,1,5,0,H,14,7,5,1,11,9,8,3,0,1,0,0
25-08-2013,Betis,Celta,1,1,2,A,20,13,6,4,9,18,12,8,1,3,0,1
25-08-2013,Levante,Sevilla,1,0,0,D,8,18,3,3,17,18,5,7,3,5,0,0
25-08-2013,Malaga,Barcelona,1,0,1,A,9,15,3,11,14,12,2,11,3,2,0,0
26-08-2013,Granada,Real Madrid,1,0,1,A,8,21,3,8,14,10,5,8,4,2,0,0
30-08-2013,Almeria,Elche,1,2,2,D,9,15,5,9,18,18,4,5,3,5,1,0
30-08-2013,Vallecano,Levante,1,1,2,A,23,6,8,2,14,17,8,1,4,3,1,0
31-08-2013,Celta,Granada,1,1,1,D,17,3,4,1,9,6,6,5,1,2,0,0
31-08-2013,Osasuna,Villarreal,1,0,3,A,9,9,3,4,15,14,7,8,3,2,0,0
31-08-2013,Valladolid,Getafe,1,1,0,H,21,16,6,0,19,8,10,5,2,2,0,0
01-09-2013,Espanol,Betis,1,0,0,D,10,8,3,3,19,14,7,7,2,4,0,0
01-09-2013,Real Madrid,Ath Bilbao,1,3,1,H,20,12,7,2,15,13,9,6,1,2,0,0
01-09-2013,Sevilla,Malaga,1,2,2,D,15,15,7,6,17,13,10,1,3,3,0,1
01-09-2013,Sociedad,Ath Madrid,1,1,2,A,10,16,4,9,19,21,5,5,2,4,0,0
01-09-2013,Valencia,Barcelona,1,2,3,A,16,20,10,9,20,11,5,7,2,3,0,0
14-09-2013,Ath Madrid,Almeria,1,4,2,H,20,7,8,2,15,17,8,1,2,4,0,0
14-09-2013,Barcelona,Sevilla,1,3,2,H,19,7,10,2,12,17,6,9,2,5,0,0
14-09-2013,Levante,Sociedad,1,0,0,D,13,13,5,3,16,12,5,1,3,1,0,0
14-09-2013,Villarreal,Real Madrid,1,2,2,D,19,20,9,6,14,13,10,3,2,3,0,0
15-09-2013,Betis,Valencia,1,3,1,H,21,5,9,2,15,3,7,13,0,1,0,0
15-09-2013,Getafe,Osasuna,1,2,1,H,14,11,5,6,15,17,7,4,2,4,0,0
15-09-2013,Granada,Espanol,1,0,1,A,9,7,1,3,17,16,4,4,3,3,1,0
15-09-2013,Malaga,Vallecano,1,5,0,H,17,12,9,2,13,16,6,5,1,2,0,0
16-09-2013,Ath Bilbao,Celta,1,3,2,H,16,8,6,3,7,18,4,2,2,3,0,0
16-09-2013,Elche,Valladolid,1,0,0,D,10,8,5,4,18,9,10,4,4,1,0,0
20-09-2013,Osasuna,Elche,1,2,1,H,8,13,3,4,17,7,5,8,2,1,0,0
21-09-2013,Almeria,Levante,1,2,2,D,13,16,8,7,16,18,1,7,4,7,1,0
21-09-2013,Sociedad,Malaga,1,0,0,D,10,11,2,4,10,14,5,4,3,3,0,0
21-09-2013,Valladolid,Ath Madrid,1,0,2,A,12,15,2,6,15,13,2,6,2,2,0,0
21-09-2013,Vallecano,Barcelona,1,0,4,A,14,14,9,8,21,16,6,14,2,1,0,0
22-09-2013,Betis,Granada,1,0,0,D,19,4,6,1,13,11,5,3,4,1,0,0
22-09-2013,Celta,Villarreal,1,0,0,D,5,12,1,4,14,13,2,6,5,1,0,0
22-09-2013,Real Madrid,Getafe,1,4,1,H,29,7,11,4,13,15,9,5,1,3,0,1
22-09-2013,Valencia,Sevilla,1,3,1,H,26,9,6,3,15,12,8,8,2,1,0,0
23-09-2013,Espanol,Ath Bilbao,1,3,2,H,11,9,6,3,17,11,3,6,2,2,0,0
24-09-2013,Ath Madrid,Osasuna,1,2,1,H,13,7,4,1,11,14,11,2,3,1,0,0
24-09-2013,Barcelona,Sociedad,1,4,1,H,23,9,9,5,6,12,6,1,0,1,0,0
24-09-2013,Levante,Valladolid,1,1,1,D,24,4,4,2,13,13,7,0,2,4,0,1
24-09-2013,Malaga,Almeria,1,2,0,H,16,7,7,2,12,13,9,5,2,1,0,0
25-09-2013,Elche,Real Madrid,1,1,2,A,11,12,3,5,23,9,4,5,8,2,1,0
25-09-2013,Granada,Valencia,1,0,1,A,13,14,4,3,19,15,5,5,4,2,0,0
25-09-2013,Sevilla,Vallecano,1,4,1,H,16,10,7,4,14,18,4,2,3,4,0,2
26-09-2013,Ath Bilbao,Betis,1,2,1,H,20,10,8,5,8,13,8,4,1,5,0,0
26-09-2013,Getafe,Celta,1,2,0,H,14,9,3,2,14,8,11,5,2,1,0,0
26-09-2013,Villarreal,Espanol,1,2,1,H,8,12,5,3,15,22,3,5,1,3,0,0
27-09-2013,Valladolid,Malaga,1,2,2,D,13,11,3,4,6,7,11,4,3,0,0,0
28-09-2013,Almeria,Barcelona,1,0,2,A,5,15,1,4,20,15,2,3,1,2,0,0
28-09-2013,Real Madrid,Ath Madrid,1,0,1,A,20,13,5,4,21,18,2,7,4,4,0,0
28-09-2013,Sociedad,Sevilla,1,1,1,D,17,10,5,3,11,10,8,5,0,4,0,1
28-09-2013,Valencia,Vallecano,1,1,0,H,5,13,4,3,14,21,3,5,3,5,0,0
29-09-2013,Betis,Villarreal,1,1,0,H,11,7,5,2,15,13,5,6,6,3,0,0
29-09-2013,Celta,Elche,1,0,1,A,7,14,1,4,17,16,7,4,1,3,0,0
29-09-2013,Espanol,Getafe,1,0,2,A,14,7,3,3,8,14,14,4,1,3,0,0
29-09-2013,Osasuna,Levante,1,0,1,A,20,15,5,5,17,15,9,6,5,2,1,0
30-09-2013,Granada,Ath Bilbao,1,2,0,H,13,11,5,4,17,10,5,2,2,1,0,0
06-10-2013,Ath Madrid,Celta,1,2,1,H,23,3,12,2,12,16,13,0,1,3,0,0
06-10-2013,Getafe,Betis,1,3,1,H,11,15,5,4,19,14,5,10,3,3,0,0
06-10-2013,Sevilla,Almeria,1,2,1,H,22,11,6,4,14,9,12,3,4,5,0,0
06-10-2013,Ath Bilbao,Valencia,1,1,1,D,17,12,8,5,8,6,9,2,2,2,0,0
05-10-2013,Barcelona,Valladolid,1,4,1,H,21,7,8,1,7,15,7,4,0,3,0,0
05-10-2013,Elche,Espanol,1,2,1,H,12,13,6,3,13,19,4,5,1,1,0,1
05-10-2013,Levante,Real Madrid,1,2,3,A,13,27,5,10,18,13,3,8,1,3,0,0
05-10-2013,Vallecano,Sociedad,1,1,0,H,11,18,1,6,9,8,7,6,2,2,0,0
04-10-2013,Malaga,Osasuna,1,0,1,A,15,13,3,6,7,14,6,6,1,5,0,0
04-10-2013,Villarreal,Granada,1,3,0,H,16,8,4,1,9,13,6,4,0,1,0,0
19-10-2013,Espanol,Ath Madrid,1,1,0,H,9,6,3,0,16,22,3,3,5,4,0,0
19-10-2013,Osasuna,Barcelona,1,0,0,D,4,12,1,3,13,8,2,5,3,2,0,0
19-10-2013,Real Madrid,Malaga,1,2,0,H,22,3,15,1,5,12,10,1,1,5,0,0
19-10-2013,Valencia,Sociedad,1,1,2,A,16,8,4,3,13,10,8,2,3,1,0,0
20-10-2013,Almeria,Vallecano,1,0,1,A,6,16,2,10,21,13,7,6,2,3,0,1
20-10-2013,Betis,Elche,1,1,2,A,15,7,7,4,22,8,6,7,4,2,0,1
20-10-2013,Granada,Getafe,1,0,2,A,12,15,5,7,21,12,9,3,3,2,1,0
20-10-2013,Valladolid,Sevilla,1,2,2,D,11,16,5,6,14,17,6,5,2,3,0,0
21-10-2013,Ath Bilbao,Villarreal,1,2,0,H,19,6,3,2,14,13,8,4,5,2,0,1
21-10-2013,Celta,Levante,1,0,1,A,15,6,4,3,11,14,2,0,2,1,0,0
25-10-2013,Vallecano,Valladolid,1,0,3,A,17,9,4,6,7,27,8,1,2,2,0,0
26-10-2013,Barcelona,Real Madrid,1,2,1,H,12,10,5,6,19,16,4,3,2,5,0,0
26-10-2013,Elche,Granada,1,0,1,A,8,14,1,3,12,8,5,4,2,3,0,0
26-10-2013,Levante,Espanol,1,3,0,H,6,20,3,6,14,23,3,11,2,5,0,0
26-10-2013,Malaga,Celta,1,0,5,A,7,16,1,9,14,11,5,6,2,0,0,0
27-10-2013,Ath Madrid,Betis,1,5,0,H,16,9,12,1,14,7,6,5,0,2,0,0
27-10-2013,Sevilla,Osasuna,1,2,1,H,23,7,4,3,11,11,9,3,1,4,0,1
27-10-2013,Sociedad,Almeria,1,3,0,H,10,15,3,4,10,14,3,7,1,3,0,0
27-10-2013,Villarreal,Valencia,1,4,1,H,15,16,8,8,14,13,6,9,3,2,0,0
28-10-2013,Getafe,Ath Bilbao,1,0,1,A,14,6,3,5,13,22,9,4,0,3,0,0
29-10-2013,Celta,Barcelona,1,0,3,A,12,20,4,8,17,12,5,7,3,1,0,0
29-10-2013,Espanol,Malaga,1,0,0,D,12,14,3,5,20,11,8,6,1,3,0,0
30-10-2013,Osasuna,Vallecano,1,3,1,H,10,21,6,5,10,9,5,10,0,2,1,0
30-10-2013,Real Madrid,Sevilla,1,7,3,H,18,16,10,6,17,15,2,1,3,2,0,1
30-10-2013,Valencia,Almeria,1,1,2,A,19,8,7,4,14,17,5,2,0,5,0,0
30-10-2013,Valladolid,Sociedad,1,2,2,D,18,16,7,6,15,7,11,4,4,1,0,0
31-10-2013,Ath Bilbao,Elche,1,2,2,D,17,11,5,6,11,10,8,3,3,2,0,0
31-10-2013,Betis,Levante,1,0,0,D,16,17,5,4,12,14,4,3,1,6,1,0
31-10-2013,Granada,Ath Madrid,1,1,2,A,10,7,1,6,15,16,5,5,2,2,0,1
31-10-2013,Villarreal,Getafe,1,0,2,A,12,9,3,4,12,14,9,8,1,4,1,0
01-11-2013,Barcelona,Espanol,1,1,0,H,19,8,5,2,7,19,9,2,1,3,0,0
02-11-2013,Almeria,Valladolid,1,1,0,H,14,8,7,2,15,13,3,5,4,2,0,1
02-11-2013,Sevilla,Celta,1,0,1,A,14,17,4,4,12,15,10,5,2,1,0,0
02-11-2013,Sociedad,Osasuna,1,5,0,H,17,5,8,1,8,6,9,2,2,0,0,1
02-11-2013,Vallecano,Real Madrid,1,2,3,A,23,11,6,5,13,12,6,1,3,5,0,0
03-11-2013,Ath Madrid,Ath Bilbao,1,2,0,H,15,2,8,0,15,21,3,0,5,2,0,1
03-11-2013,Getafe,Valencia,1,0,1,A,14,16,5,5,17,7,6,6,6,2,0,0
03-11-2013,Levante,Granada,1,0,1,A,13,15,7,5,15,15,5,7,2,3,0,0
03-11-2013,Malaga,Betis,1,3,2,H,10,8,4,3,20,12,2,3,2,2,0,0
04-11-2013,Elche,Villarreal,1,0,1,A,5,16,0,6,19,11,9,9,3,3,0,0
08-11-2013,Granada,Malaga,1,3,1,H,16,17,10,6,17,17,7,5,3,3,0,0
08-11-2013,Osasuna,Almeria,1,0,1,A,20,4,5,2,9,16,12,5,2,3,0,0
09-11-2013,Ath Bilbao,Levante,1,2,1,H,21,7,9,3,19,24,11,2,3,5,1,0
09-11-2013,Celta,Vallecano,1,0,2,A,16,16,4,4,16,19,8,4,3,2,0,0
09-11-2013,Getafe,Elche,1,1,1,D,10,10,2,5,17,16,4,7,3,6,0,0
09-11-2013,Real Madrid,Sociedad,1,5,1,H,17,8,8,3,16,9,2,7,2,1,0,0
10-11-2013,Espanol,Sevilla,1,1,3,A,15,12,2,4,19,11,5,4,2,3,1,0
10-11-2013,Valencia,Valladolid,1,2,2,D,19,11,6,6,8,17,6,6,1,5,0,0
10-11-2013,Villarreal,Ath Madrid,1,1,1,D,15,7,3,1,14,22,5,1,3,4,0,0
10-11-2013,Betis,Barcelona,1,1,4,A,16,11,5,8,18,12,9,0,3,2,0,0
